UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
65025625,Devon Saal,32,62 kg,168 cm,,-,RSA,National First Division,Richards Bay,"€37,000 p/a",30/6/2025,AM (L),-,17,"1,636",87%,0.55,0.26,2.42,1.6,0.72,13%,1.05,10%,0.65,0.44,0.88,0.13,0,1.32,80%,0.83,0,0.06,5.06,18%,0.94,0.5,5.01,14.8,6.44,3.58,12.2km,2.53,8.75,-,-,-,-
65013770,Menzi Masuku,32,65 kg,172 cm,,-,RSA,National First Division,Royal AM,"€105,000 p/a",30/6/2025,M/AM (C),M (C),13,"1,082",87%,0.42,0.2,3.33,1.08,0.42,25%,0.33,-,-0.97,0.5,0.83,0.08,0,1.5,82%,1.08,0.08,0,3.24,54%,1.75,0.5,6.57,10.48,7.99,1.58,12.5km,2.08,6.99,-,-,-,-
78065423,Fabricio Fernández,32,68 kg,172 cm,,-,URU,UAE First Division League,Al-Orooba Club,"€468,000 p/a",30/6/2025,M/AM (C),-,31,"2,790",69%,0.16,0.13,0,0,-,-,0,6%,-5.17,0.97,0,0.24,0,1,89%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
65010277,Rodney Ramagalela,35,69 kg,170 cm,,-,RSA,SAFA Second Division - Gauteng,Mpumalanga FA,"€15,000 p/a",30/6/2025,ST (C),-,21,"1,784",81%,0.15,0.13,0.5,0.55,0.1,10%,0.1,17%,1.13,1.46,0.2,0.35,0,1.01,74%,0.45,0,0.25,9.74,36%,3.48,0.15,2.12,16.75,3.78,0.81,9.1km,1.11,4.19,-,-,-,-
76022059,Wílber Rentería,33,73 kg,180 cm,,-,COL,Liga Nacional de Fútbol de Guatemala,Xelajú,"€52,500 p/a",30/6/2025,M (C),-,44,"3,989",72%,0.27,0.1,0,0,-,-,0,21%,1.86,0.18,0,0.07,0,1.94,90%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
65010227,Prince Nxumalo,34,73 kg,183 cm,,-,RSA,SAFA Second Division - Gauteng,Mpumalanga FA,"€17,000 p/a",30/6/2025,ST (C),-,18,"1,296",81%,0.14,0.12,0.42,0.49,0.07,0%,0,11%,0.96,1.11,0.42,0.21,0,1.53,88%,0.56,0,0.21,9.1,40%,3.61,0.14,2.29,12.57,3.82,0.56,8.2km,0.97,4.31,-,-,-,-
51013435,Jairo González,33,74 kg,170 cm,,-,MEX,Liga BBVA Expansión MX,UdeG,"€251,000 p/a",30/6/2025,D (L),-,14,"1,079",85%,0.25,0.14,7.01,1.17,0.17,23%,0.75,-,-0.88,0,0.17,0.07,0,1.75,81%,1,0.08,0.5,5.34,52%,2.75,1,13.51,12.59,14.93,1.17,12.5km,2,8.09,-,-,-,-
75005564,Yashir Pinto,34,74 kg,183 cm,,-,PLE,Hilux Revo Thai League,Chiangrai Utd,"€74,000 p/a",30/6/2025,ST (C),-,35,"3,174",56%,0.06,0.07,0,0,-,-,0,5%,-4.74,1.08,0,0.28,0,0.88,60%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
15089420,Brandon Vella,26,66 kg,175 cm,,-,MLT,PS4 National Premier League - New South Wales,Marconi Stallions,"€58,500 p/a",30/6/2025,M (C),-,13,"1,951",82%,0.14,0.09,1.8,0.6,0.05,27%,0.14,-,-2.1,0.18,0.23,0.1,0,1.66,72%,0.97,0.05,0.09,2.77,40%,1.11,0.14,7.98,10.29,5.4,0.37,7.8km,1.75,5.95,-,-,-,-
16010166,Christoph Knasmüllner,33,69 kg,181 cm,,-,AUT,Trzecia liga - Grupa 4,Wieczysta Kraków,"€132,000 p/a",30/6/2025,M/AM (C),-,39,"3,510",72%,0.18,0.06,0,0,-,-,0,-,-8.25,0.95,0,0.21,0,1.05,87%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
16037023,Lukas Grozurek,33,80 kg,189 cm,,-,AUT,BVZ Burgenlandliga,SC Fortuna Wr. Neustadt,"€28,000 p/a",30/6/2025,AM (L),-,39,"3,510",61%,0.21,0.08,0,0,-,-,0,13%,-1.73,1.28,0,0.4,0,1.08,62%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
18044106,Jordan Lukaku,30,83 kg,177 cm,,-,BEL,TFF 2. Lig Beyaz Grup,Adanaspor,"€64,500 p/a",30/6/2025,D/WB (L),-,26,"1,962",84%,0.09,0.1,5.55,1.38,0.09,14%,0.37,10%,-0.5,0.05,0.18,0.07,0,2.8,92%,1.83,0.23,0.32,5.37,71%,3.81,0.83,9.5,14.04,9.68,0.87,10.7km,1.93,6.83,-,-,-,-
71049885,Dmytro Myshnyov,31,69 kg,170 cm,,-,UKR,Favbet Liha,Zoria,"€197,000 p/a",30/6/2025,M/AM (C),-,27,"2,251",88%,0.12,0.21,3.68,1.28,0.44,11%,0.08,7%,-0.8,0.76,0.76,0.15,0,2.24,85%,0.68,0.04,0.04,2.88,28%,0.8,0.36,14.59,14.07,10.08,0.6,12.0km,2.92,10.92,-,-,-,-
