UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
95040947,Oladapo Afolayan,27,71 kg,180 cm,,-,ENG,Bundesliga,St. Pauli,"€499,000 p/a",30/6/2025,"M (R), AM (RLC)","M (R), AM (C)",19,"1,463",83%,0.06,0.1,3.01,0.98,0.31,10%,0.55,20%,2.17,0.55,0.37,0.11,0,2.34,86%,1.17,0,0,5.72,22%,1.23,0.8,4.37,15.07,14.33,3.08,12.9km,3.44,11.75,-,-,-,-
49037825,Warmed Omari,24,73 kg,185 cm,,-,FRA,Ligue 1 McDonald's,Lyon,"€448,000 p/a",30/6/2026,D (C),-,12,"1,150",94%,0.08,0.15,4.77,0.7,0.08,17%,0.08,-,-0.44,0.08,0.23,0.03,0,1.49,70%,0.86,0.23,0.7,4.93,70%,3.44,0.23,18.55,4.38,8.06,0.39,12.2km,1.49,5.4,-,-,-,-
91138645,Jonas Föhrenbach,28,81 kg,184 cm,,-,GER,Bundesliga,Heidenheim,"€698,000 p/a",30/6/2026,D/WB (L),-,24,"2,115",88%,0.13,0.14,4.94,1.19,0.38,4%,0.09,-,-0.18,0,0.04,0.01,0,2.68,72%,1.45,0.26,0.43,5.49,60%,3.28,0.94,10.51,14,18.3,0.81,13.6km,2.55,9.53,-,-,-,-
85068487,Jean-Charles Castelletto,29,76 kg,185 cm,,-,CMR,Ligue 1 McDonald's,FC Nantes,"€1,213,000 p/a",30/6/2027,D (C),-,17,"1,530",94%,-,0.03,3.29,0.24,0.12,0%,0,-,-0.69,0.24,0.24,0.04,0,0.88,75%,1.59,0.12,0.88,9.18,73%,6.71,1,14.76,3.29,5.76,-,11.2km,0.76,3.06,-,-,-,-
43372280,Roberto Piccoli,23,84 kg,190 cm,,-,ITA,Serie A enilive,Cagliari,"€560,000 p/a",30/6/2024,"AM (C), ST (C)",AM (C),18,"1,523",87%,0.06,0.03,0.65,0.53,-,11%,0.06,9%,-0.08,2.01,1.3,0.3,0,1.24,91%,0.41,0,0.06,9.1,56%,5.14,0.12,1.71,21.86,6.56,1.06,12.0km,1.42,7.8,-,-,-,-
43378804,Stefano Turati,23,85 kg,188 cm,,-,ITA,Serie A enilive,Monza,"€1,060,000 p/a",30/6/2026,GK,-,18,"1,563",76%,-,0,0,0,-,-,-,-,0,-,-,0,1,0.12,67%,1.38,0,0,-,-,-,-,3.05,7.08,0,-,6.5km,0,0,8,37,18,0.59
48044237,Hugo Magnetti,26,74 kg,172 cm,,-,FRA,Ligue 1 McDonald's,Brest,"€352,000 p/a",30/6/2026,"DM, M (C)",-,22,"1,857",83%,0.1,0.11,3.49,1.16,0.34,29%,0.24,13%,0.17,0.29,0.19,0.09,0,2.42,76%,1.11,0.05,0.05,3.49,39%,1.36,0.53,11,14.98,10.71,0.92,12.2km,3.2,11.49,-,-,-,-
14185869,Facundo Medina,25,78 kg,184 cm,,-,ARG,Ligue 1 McDonald's,RC Lens,"€627,000 p/a",30/6/2027,D (C),-,24,"2,095",94%,0.04,0.04,4.12,0.39,0.09,0%,0,-,-2.14,0.04,0.21,0.09,0,1.12,90%,1.25,0.43,0.3,4.85,56%,2.71,0.82,17.87,2.32,5.8,0.09,11.5km,0.95,2.75,-,-,-,-
14059327,Augusto Batalla,28,86 kg,185 cm,,-,ARG,LaLiga EA SPORTS,Vallecano,"€352,000 p/a",31/12/2024,GK,-,19,"1,680",70%,-,0,0,0,-,-,-,-,0,-,-,0,0,0,0%,5.89,0,0,-,-,-,-,3,11.41,0,-,6.6km,0,0,4,32,13,0
19363237,Welington,23,70 kg,175 cm,,-,BRA,English Premier League,Southampton,"€1,893,000 p/a",31/12/2024,D/WB (L),WB (L),16,"1,415",82%,0.06,0.09,4.13,1.14,0.13,15%,0.83,-,-0.09,0,0,0.01,0,2.99,72%,1.08,0,0.19,2.8,50%,1.4,0.51,8.2,18.32,15.27,2.61,13.4km,3.69,14.25,-,-,-,-
85139266,Brendan Chardonnet,30,80 kg,183 cm,,-,FRA,Ligue 1 McDonald's,Brest,"€352,000 p/a",30/6/2024,D (C),-,20,"1,700",89%,-,0.03,3.18,0,-,100%,0.05,-,-0.81,0,0,0.04,0,1.27,75%,1.01,0.11,1.27,7.09,80%,5.66,0.53,12.49,3.23,5.08,0.21,11.1km,1.16,3.97,-,-,-,-
