name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,chancesCreated,npXG,badges,ratingScores
Natan Benazzi,2002161130,36.01,7,22.71,37.27,52.99,88.34,81.06,84.19,advanced playmaker,{"advanced playmaker":85}
Gaetano Cappelli,2002133978,58.49,50.7,21.78,35.63,17.26,55.97,53.03,42.77,,{}
Fernando Moreyra,14221621,69.82,1.03,64.27,63.67,83.12,26.12,38.53,31.67,,{}
Philippe Santiago,2002072480,65.35,38.15,77.38,58.44,38.81,28.92,34.61,37.64,,{}
Matheus Ferreira,2000218638,35.77,15.95,32.42,57.42,99.3,62.17,69.82,16.98,,{}
Tomás López,2000277235,31.39,44.22,90.53,91.65,78.87,59.14,4.34,56.67,,{}
Daniel Insfrán,2000294350,20.9,12.27,8.91,2.05,18.7,94.03,91.74,92.82,advanced playmaker,{"advanced playmaker":93}
Ezequiel González,2000071321,67.3,32.84,15.39,43.61,46.6,68.8,75.09,31.67,,{}
Xavi Espart,2000298787,66.23,12.27,44.4,49.67,45.24,37.73,51.68,42.77,,{}
Adam Sutter,2002072521,87.97,15.95,17.63,14.41,12.83,58.26,57.65,66.51,,{}
Dinis Braga,2002162484,28.73,3.96,5.46,8.72,8.58,32.04,36.24,56.67,,{}
Antonio Femenías,2002126279,9.65,50.7,85.54,67.26,30.5,5.32,16.84,16.98,,{}
Tobías Rubio,2000045678,23.69,90.81,73.83,74.58,75,37.08,25.47,0.37,,{}
Leandro Borrelli,2002136540,8.91,69.96,86.05,88.67,63.9,5.83,4.34,16.98,,{}
Enzo Benítez,2000148350,7.14,28.17,82.56,77.1,86.01,17.44,21.83,10.91,,{}
Mateo Cáceres,14227181,71.83,50.7,58.63,55.27,28.13,62.17,70.66,5.83,,{}
Mauro Castellanos,2002073971,53.45,5.27,47.01,46.13,84.89,65.21,36.24,37.64,,{}
Francisco Cortés,2002134915,46.27,3.96,70.52,57.14,87.55,87.03,67.58,24.21,,{}
Théo Cenci,18110542,3.4,99.72,3.4,44.64,3.22,3.31,10.35,10.91,,{}
Guilherme,2000027008,40.63,75.09,65.9,44.92,85.73,87.03,79.43,42.77,,{}
David Sogorb,2002099365,32,50.7,88.53,80.13,71.64,17.44,31.06,31.67,,{}
Nurettin Yeşilçay,2002099532,83.21,57.65,78.82,77.94,39.97,35.59,47.71,47.9,,{}
