name,uid,tackleRating,headersWonRatio,progressivePassesPer90,badges,ratingScores
Fernando Ríos,2002156552,39.21,10.32,79.83,spreader,{"spreader":80}
Samuel Koné,2002123065,39.21,86.82,25.77,,{}
Kléber Bonjesus,2002152668,33.29,79.43,70.24,spreader,{"spreader":70}
Rousimar Sestrem,2002152637,95.07,68.64,93.28,spreader,{"spreader":93}
Dorian Teixeira,2002123636,46.27,72.44,40.41,,{}
Luciano Campos,2000144496,53.73,45.07,65.18,,{}
Enver Osmani,2002075163,1,60.59,5.26,,{}
Bruno Palazzo,14224390,79.29,68.64,77.56,spreader,{"spreader":78}
Jaime Vázquez,2000223081,12.05,92.54,30.83,,{}
Hichem Belkacemi,2002073863,53.73,9.39,37.62,,{}
Eduard Gonzi,2002153586,2.06,76.23,39.01,,{}
Julio Cano,2002134914,15.18,86.82,24.7,,{}
Samuel Lucero,2000118156,53.73,4.33,38.55,,{}
Aldo Guerrini,2002144653,91.81,97.27,7.19,aggressor,{"aggressor":95}
Ryan Barry,2002123391,82.16,15.58,25.77,,{}
Gastón Parafita,2002136262,39.21,36.28,76.5,spreader,{"spreader":77}
Julián Lonardi,2000041178,53.73,88.75,66.44,,{}
Gaspar Aguilar,2002127732,18.71,27.3,72.37,spreader,{"spreader":72}
Ricardo Rakotoharimalala,2002100293,15.18,86.82,23.17,,{}
João Paulo,2002120677,7.39,36.28,32.76,,{}
Bamo Meïté,2000018252,12.05,79.43,29.69,,{}
Romão Chasqueira,14243750,46.27,60.59,60.52,,{}
Levi Malungu,18115935,95.07,60.59,4.19,,{}
Luquinhas,2002152765,33.29,98.4,31.76,,{}
Federico Franco,2002074325,72.1,42.08,23.17,,{}
Gonzalo Quinteros,2000249023,90.08,72.44,66.64,aggressor,{"aggressor":81}
Demián Paone,2002136280,39.21,55.86,28.03,,{}
Yasin Karabulut,2002133225,33.29,13.98,21.3,,{}
Aaron Bouwman,2000269520,5.59,76.23,14.85,,{}
Jarid Auger,2002103728,3.26,97.27,14.58,,{}
Guilherme Reis,2002073882,28.1,94.54,48.47,,{}
Marco Mazzei,2002126383,72.1,55.86,9.79,,{}
Rafael Mota,2000268867,60.79,72.44,92.61,spreader,{"spreader":93}
Juan Cruz Duarte,2002128099,7.39,92.54,43.61,,{}
Alfredo Roquero,2000193221,22.97,39.08,86.95,spreader,{"spreader":87}
Jochie de Gelder,2002073693,60.79,30.03,22.7,,{}
Frederick Reuter,2000287924,15.18,60.59,38.22,,{}
Daniel Caniparoli,2002134401,90.08,97.27,42.68,aggressor,{"aggressor":94}
Juan Pablo Di Carlo,2002074609,66.78,19.17,31.29,,{}
Maximilian Knoop,2002099594,28.1,15.58,20.44,,{}
Nelson Abbey,29233999,39.21,22.97,25.23,,{}
David Iribarren,2002134435,60.79,88.75,94.87,spreader,{"spreader":95}
Filipe Destefano,2002120919,3.26,17.11,37.95,,{}
Lucas Cano,2002128829,22.97,33.16,72.24,spreader,{"spreader":72}
Gaetano Gargiulo,2002133693,39.21,94.54,7.79,,{}
Miguel Benavídez,2002136255,87.48,88.75,29.69,aggressor,{"aggressor":88}
Steyn Baas,2002133482,9.72,45.07,19.84,,{}
Tomás Trancoso,2002124175,79.29,42.08,53.46,,{}
Leonardo,2002131821,33.29,27.3,60.85,,{}
André Santos,2002075081,87.48,88.75,20.91,aggressor,{"aggressor":88}
Zoran Dukić,2002123100,39.21,33.16,33.22,,{}
Ramiro Soperez,2000248635,7.39,25.1,74.77,spreader,{"spreader":75}
Marley Felix,49062675,95.94,30.03,2.6,,{}
Enrico Martelli,2002126011,18.71,8.39,56.39,,{}
Jeffrey Boleij,2002126252,15.18,9.39,80.49,spreader,{"spreader":80}
Ariel González,2000240540,15.18,4.46,75.37,spreader,{"spreader":75}
Giorgio Cittadini,43424882,76.43,94.54,35.42,aggressor,{"aggressor":85}
Ignacio Ponce,2002136702,97.47,98.4,44.14,aggressor,{"aggressor":98}
Martín González,2002128270,22.97,51.86,65.51,,{}
Glenn Stumpf,2002075443,53.73,36.28,51.33,,{}
Marc,2002126612,28.1,68.64,35.42,,{}
Sky Heesen,2000292364,46.27,27.3,81.69,spreader,{"spreader":82}
Gustavo Albarracín,2000185733,28.1,4.86,94.14,spreader,{"spreader":94}
Luís Henriques,2002073566,46.27,76.23,84.29,spreader,{"spreader":84}
Zé Vitor,2000015324,28.1,79.43,32.16,,{}
Hakan Goeminne,2002127043,98.34,39.08,3.26,,{}
Dardo Torres,14207325,39.21,19.17,71.57,spreader,{"spreader":72}
Tomás López,2000277235,33.29,55.86,75.37,spreader,{"spreader":75}
Antonio Femenías,2002126279,39.21,94.54,18.18,,{}
Odair José,2002120685,39.21,90.48,61.52,,{}
Tobías Rubio,2000045678,84.89,19.17,69.51,,{}
Nicolás Fernández,2000082728,90.08,10.32,49.73,,{}
Leandro Borrelli,2002136540,60.79,92.54,56.39,,{}
Frédéric Moser,2002123981,33.29,7.46,38.22,,{}
Enzo Benítez,2000148350,18.71,48.27,83.75,spreader,{"spreader":84}
Clebson Fernandes,2002131834,95.07,82.29,45.01,aggressor,{"aggressor":89}
Guillermo Amaya,2002127459,18.71,33.16,57.46,,{}
Nurettin Yeşilçay,2002099532,46.27,39.08,27.56,,{}
Søren Kristoffersen,2002144224,95.94,48.27,4.33,,{}
José Luís Català,2000116128,76.43,72.44,17.24,aggressor,{"aggressor":74}
Anderson,2002152735,76.43,22.97,85.69,spreader,{"spreader":86}
Yaël Thébault,2000289509,53.73,8.39,47.4,,{}
Oumar N'Diaye,2002124612,60.79,33.16,45.21,,{}
Márcio Silva,19382879,82.16,79.43,32.42,aggressor,{"aggressor":81}
Aiman Souiri,29233083,93.01,6.32,3,,{}
Leonel Nunes,2002073792,9.72,86.82,46.21,,{}
Horacio Martínez,2002127267,66.78,9.39,98.74,spreader,{"spreader":99}
Kevin Schlosser,2002073411,39.21,12.58,14.11,,{}
Alejandro Villalba,2000049727,96.67,90.48,74.77,aggressor;spreader,{"aggressor":94;"spreader":75}
Rafael Profini,2000108826,15.18,33.16,7.79,,{}
Mathys Angely,2000301241,4.53,65.05,28.5,,{}
Amund Midtgård,2002153556,33.29,48.27,20.11,,{}
Gaetano Giannoccoli,2000268502,53.73,6.86,51.6,,{}
Alessio Trimboli,2002102834,82.16,21.17,18.18,,{}
Ahmet Kan,2002143928,33.29,72.44,34.55,,{}
Youssif Dikeni,2000297453,2.06,98.4,47.4,,{}
Martín,2002102105,82.16,39.08,45.01,,{}
Evertow,2000273975,60.79,68.64,55.79,,{}
Enzo Galván,2002164598,28.1,94.54,54.99,,{}
Mark Verkuijl,2000179625,22.97,8.39,50.33,,{}
Riley Rosada,2000294104,79.29,82.29,62.65,aggressor,{"aggressor":81}
Durmuş Serbest,2000144473,22.97,90.48,23.17,,{}
Tomás Maidana,2002127458,4.53,13.98,69.84,,{}
Olufemi Offor,2002125112,39.21,30.03,8.46,,{}
Jorge Alberto,2002120507,60.79,42.08,82.56,spreader,{"spreader":83}
Román Suárez,2002074584,15.18,13.98,47,,{}
Emanuel Silva,2002075326,7.39,12.58,29.49,,{}
Richie Boks,2002144924,82.16,65.05,67.64,,{}
Victão,2000197005,0.33,79.43,19.37,,{}
Maximilian Laessig,2000125837,82.16,51.86,16.11,,{}
Prince Winklaar,2002103970,53.73,25.1,6.46,,{}
Laurin Fensel,2002125031,53.73,72.44,41.01,,{}
Iván García,2002127366,18.71,65.05,32.76,,{}
