name,uid,chancesCreated,openCrossesRatio,openSucessfullCrosses90,dribbles,conv,npXG,keyPasses,xA,badges,ratingScores
Francisco Barreiro,2000271965,96.85,37.33,91.76,94.55,31.76,47.82,80.42,79.45,wide playmaker,{"wide playmaker":86}
Jacob Gangsted Gartenmann,2002172116,6.12,2.61,3.45,5.09,64.97,98.18,1.39,3.45,,{}
Yanis Issoufou,2000279711,97.27,91.94,98,93.45,84.91,67.09,98.42,98.18,winger;wide playmaker,{"winger":95;"wide playmaker":98}
Gastón Echeverría,2002146873,40.36,42.61,43.82,43.7,68.48,54.42,39.76,42.97,,{}
Miguel Flores,2002156594,23.76,37.33,61.64,29.94,4.61,9.82,68.06,42.97,,{}
Matthew Williams,2002133283,17.09,12.79,21.52,59.52,60.55,90,8.36,1.39,,{}
Juan Carlos Rey,2002074398,11.52,37.33,94.42,59.21,37.09,17.09,52.55,17.88,,{}
Pablo Desideri,2002128847,96.48,81.76,96.55,77.09,68.48,51.21,96.18,95.88,winger;wide playmaker,{"winger":88;"wide playmaker":96}
Cristian Macías,2002099372,15.94,15.27,52.67,22.73,27.52,3.27,12.79,6.36,,{}
Bruno,2002120097,55.7,90.12,96.12,17.09,47.03,12.61,82.12,67.88,,{}
Vitinho,2002131838,30,6.42,14.73,33.09,23.21,59.7,31.21,22.79,,{}
Lars Jensen,2002123410,19.39,2.61,3.45,3.45,51.52,76.3,6.12,51.7,,{}
Kelvin Flórez,2000069656,95.09,65.39,80.91,65.76,42.55,51.21,98.73,88.61,wide playmaker,{"wide playmaker":94}
Alexandre Rivière,2002073189,72.42,37.33,29.45,28.42,4.61,9.82,53.7,42.97,,{}
Daniel Pugliese,2000029943,78.3,78.67,98.85,55.15,15.64,38,91.45,93.76,wide playmaker,{"wide playmaker":88}
Noah Lemina,2000104882,21.94,48.73,45.64,76.24,12.55,23.45,31.88,27.82,,{}
Facundo Moral,2002146911,10.42,90.12,36.06,50.73,64.97,76.3,33.21,1.39,,{}
Gabriel Díaz,2002127607,23.76,78.67,27.33,14.42,47.03,85.58,41.21,27.82,,{}
Paulinho,2002132262,57.94,26.48,10.61,34.48,64.97,82.42,69.39,47.58,,{}
Maik Kling,2002153689,61.88,48.73,84.73,42.97,4.61,5.39,64.73,27.82,,{}
Agustín Prokop,14220024,93.15,75.64,59.7,8.3,4.61,14.61,63.27,84.61,,{}
Rousimar Sestrem,2002152637,15.94,99.39,56.55,12,23.21,20.42,9.33,13.39,,{}
Facundo Ballester,2000059950,25.27,18.61,69.88,86.97,60.55,20.42,25.27,22.79,,{}
Loïc Colot,2002072785,5.33,87.33,62.55,41.52,55.82,93.94,7.27,3.45,,{}
Thiago Zamora,2002127739,75.7,87.33,83.21,94.36,68.48,54.42,92.97,92.3,winger;wide playmaker,{"winger":85;"wide playmaker":87}
Resley Kessels,2000198445,40.36,87.33,23.45,38.61,15.64,14.61,39.09,42.97,,{}
Aboubacar Bangoura,2000261763,2,2.61,3.45,1.33,60.55,68.85,1.39,32.79,,{}
Andreas Bruus,27116286,5.33,8.97,23.45,10.67,27.52,72.67,8.06,13.39,,{}
