name,uid,posessionWonPer90,tackleRating,headersWonRatio,keyPasses,openCrossesRatio,openSucessfullCrosses90,sprints,dribbles,badges,ratingScores
Siniša Milovanović,2002152906,99.35,28.02,99.25,26.62,25.86,18.64,34.59,36.53,,{}
Chrislain Matsima,49048468,66.38,9.81,99.25,21.98,25.86,15.84,23.17,11.75,,{}
Rodrigo Núñez,2002074639,8.19,35.02,10.88,92.35,32.97,77.8,50.65,69.4,,{}
Brooke Norton-Cuffy,2000047226,97.09,35.02,43.97,65.95,48.49,79.09,91.27,84.27,,{}
Bruno Numbisie,2000180863,72.84,71.98,6.9,74.14,22.95,77.8,97.31,87.93,,{}
Mauro Orefice,2002075288,82.22,58.73,84.27,49.78,79.09,43.97,35.99,43.32,,{}
Stiven Muça,2000023219,76.08,0.75,38.04,55.28,37.39,76.19,80.28,83.62,,{}
Diogo Spencer,2000013434,74.57,28.02,32.44,40.84,20.8,21.98,37.39,68.21,,{}
Sem Dekkers,2000014085,87.18,58.73,63.69,56.47,42.78,79.09,60.02,64.01,,{}
Glauco,2002074152,62.5,77.91,88.79,62.93,25.86,76.19,50.97,70.69,,{}
Tomokazu Tadokoro,2002075380,31.36,65.73,22.41,69.61,48.49,80.06,97.52,89.12,,{}
Wouter Goes,2000014086,20.8,3.77,84.27,34.91,42.78,15.84,22.74,17.13,,{}
Gabriel Moreno,2002146636,45.26,71.98,19.94,84.16,42.78,83.51,79.42,73.17,,{}
Fernando Espíndola,2000050407,11.75,82.76,2.69,96.98,66.06,96.55,52.91,89.66,,{}
Ariel Sosa,2002136456,48.17,58.73,81.47,99.03,77.69,97.95,92.35,91.92,wing back,{"wing back":92}
Miguel Nóbrega,83169857,46.01,51.08,47.52,37.61,94.83,33.51,29.53,33.73,,{}
Gabriel Moreno,2000184506,21.01,51.08,29.85,79.53,70.8,95.26,66.92,91.7,,{}
Paulinho,2000218834,53.88,77.91,38.04,84.59,61.53,89.87,52.26,66.92,,{}
Daam Foulon,18097136,0.65,99.57,0.65,1.19,6.57,6.68,0.65,2.05,,{}
Adrián Serrano,2002127305,73.17,93.53,96.34,20.37,87.82,39.98,21.01,28.56,wide defender,{"wide defender":88}
Roberto López,2002074611,52.05,18.32,6.25,83.73,20.8,85.78,98.6,97.74,,{}
Antoine Mendy,2000130977,97.95,35.02,96.34,19.29,25.86,60.34,72.74,82.65,,{}
Carlo Volpes,2002144609,91.06,91.7,40.73,72.31,29.42,28.99,75.97,53.34,,{}
Thuto Mojanaga,2000314468,22.2,77.91,35.88,81.57,6.57,6.68,45.8,36.53,,{}
Ghassan Abbas,2002144222,3.34,91.7,4.63,29.09,74.25,53.02,37.93,44.61,,{}
Ali Hassan,2000185937,90.41,71.98,94.72,83.19,66.06,78.45,79.2,78.77,wide defender,{"wide defender":86}
Abdoulaye Sylla,48044086,2.05,98.28,91.16,2.59,6.57,6.68,1.62,2.05,,{}
Maxime Busi,18102128,3.13,89.66,63.69,11.42,32.97,31.57,12.82,27.69,,{}
Hicham El Ouali,2002154438,42.67,35.02,81.47,36.1,81.9,53.02,21.66,24.78,,{}
Juan Barinaga,14221546,68.43,43.32,81.47,60.13,15.84,28.99,84.59,50.75,,{}
Diego Comachi,2000102929,75.22,22.52,50,77.05,66.06,61.42,66.06,68.75,,{}
Roger van de Pol,2002126210,54.74,71.98,52.26,49.78,81.9,43.97,17.03,32.54,,{}
Julián Malatini,14247879,82,35.02,50,31.25,15.84,27.59,43.21,30.28,,{}
Cauan Soares,2002121249,59.81,12.39,57.54,20.37,91.92,43.97,16.7,25.75,,{}
Yeremay Alonso,2002135528,14.76,58.73,25.97,18.21,6.57,6.68,14.98,21.55,,{}
Saël Kumbedi,2000104915,90.63,9.81,35.88,93.64,61.53,98.17,90.19,94.5,,{}
Jack Hinshelwood,2000124287,65.95,43.32,32.44,80.93,37.39,79.09,86.31,82.65,,{}
Mario Gila,67277455,86.42,51.08,60.78,33.73,48.49,58.73,49.25,35.34,,{}
Ibrahim Digberekou,2000116656,25.11,22.52,91.16,38.47,66.06,46.98,33.41,31.47,,{}
Tobías Palacio,2000272820,24.89,51.08,81.47,16.38,6.57,6.68,7.87,8.08,,{}
Rodrigo Pinheiro,83228783,78.45,58.73,78.45,29.09,15.84,37.07,71.23,37.82,,{}
Makis Baglaridis,2002103590,26.4,65.73,6.25,51.94,37.39,68.1,93,75.22,,{}
Valentín Albano,2000104613,60.78,89.66,86.64,64.44,61.53,71.01,78.99,37.82,,{}
